id,character,dialog,next_event_id,next_event,name,chapter
1,VOZ FEMENINA,"Ever since the stars disappeared, no one looks for them...",2,CONVERSATION,EXT. PRADERA - NOCHE 1,EXT. PRADERA - NOCHE
2,VOZ FEMENINA,Or maybe they left because no one was looking for them?,,END,EXT. PRADERA - NOCHE 2,EXT. PRADERA - NOCHE
3,VOZ EN OFF,"Before your journey begins, the Divinity must reveal who you truly are.",4,CONVERSATION,INT. LIMBO - DÍA [MysticQuestioning] 1,INT. LIMBO - DÍA [MysticQuestioning]
4,VOZ EN OFF,"You wake up... Good. But before the light touches your skin, the Divinity must see you.",5,CONVERSATION,INT. LIMBO - DÍA [MysticQuestioning] 2,INT. LIMBO - DÍA [MysticQuestioning]
5,VOZ EN OFF,"Three gifts are offered to you. One hums with power, another oozes warmth, and the last one shines with thought. Which do you choose?",6,CONVERSATION,INT. LIMBO - DÍA [MysticQuestioning] 3,INT. LIMBO - DÍA [MysticQuestioning]
6,VOZ EN OFF,"So it is written. Walk the path of the [TYPE], but keep your spirit of self-improvement, for only then will you be able to visit all the paths.",,END,INT. LIMBO - DÍA [MysticQuestioning] 4,INT. LIMBO - DÍA [MysticQuestioning]
7,LIRIA,Huh...?,8,CONVERSATION,EXT. FUENTE - DÍA 1,EXT. FUENTE - DÍA
8,LIRIA,"Hey! Easy, easy! Don't try to move yet!",9,CONVERSATION,EXT. FUENTE - DÍA 2,EXT. FUENTE - DÍA
9,LIRIA,Looks like you're just about to Awaken...,10,CONVERSATION,EXT. FUENTE - DÍA 3,EXT. FUENTE - DÍA
10,LIRIA,"Alright, follow my voice. Take a deep breath.",11,CONVERSATION,EXT. FUENTE - DÍA 4,EXT. FUENTE - DÍA
11,LIRIA,Feel the noise and the silence. Feel what you pretend to be and what you really are.,12,CONVERSATION,EXT. FUENTE - DÍA 5,EXT. FUENTE - DÍA
12,LIRIA,Think about everything that stands between those images.,13,CONVERSATION,EXT. FUENTE - DÍA 6,EXT. FUENTE - DÍA
13,LIRIA,"Think about what hurt, and what you kept quiet. About the obstacles they put in your way, and all the times you yourself threw yourself into the void.",14,CONVERSATION,EXT. FUENTE - DÍA 7,EXT. FUENTE - DÍA
14,LIRIA,Think about your actions and their consequences.,15,CONVERSATION,EXT. FUENTE - DÍA 8,EXT. FUENTE - DÍA
15,LIRIA,And now... Wake up.,16,CONVERSATION,EXT. FUENTE - DÍA 9,EXT. FUENTE - DÍA
16,LIRIA,Finally! For a moment I thought you wouldn't make it.,17,CONVERSATION,EXT. FUENTE - DÍA 10,EXT. FUENTE - DÍA
17,JUGADOR,What happened?,18,CONVERSATION,EXT. FUENTE - DÍA 11,EXT. FUENTE - DÍA
18,LIRIA,You just Awakened.,19,CONVERSATION,EXT. FUENTE - DÍA 12,EXT. FUENTE - DÍA
19,LIRIA,"Long ago, in some past life, you were consumed by temptations that left you a hollow shell.",20,CONVERSATION,EXT. FUENTE - DÍA 13,EXT. FUENTE - DÍA
20,LIRIA,"You wandered aimlessly for countless years, but at some point you rejected that shell and freed your soul.",21,CONVERSATION,EXT. FUENTE - DÍA 14,EXT. FUENTE - DÍA
21,LIRIA,"Thanks to that, ""you dwell in the here and now."" You triumphed for the first time.",22,CONVERSATION,EXT. FUENTE - DÍA 15,EXT. FUENTE - DÍA
